,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2017-12-11,173.970001,-0.9999,0.151,0.744,0.105,169.199997,174.169998,168.78999299999998,139147200.0
2017-12-18,175.009995,-0.9934,0.105,0.798,0.097,174.880005,177.199997,173.25,117632400.0
2017-12-25,169.229996,-0.9996,0.137,0.752,0.112,170.800003,171.850006,169.220001,97163800.0
2018-01-01,175.0,-0.9908,0.118,0.764,0.118,170.16000400000001,175.369995,169.259995,101168400.0
2018-01-08,177.08999599999999,-0.9998,0.138,0.765,0.097,174.350006,177.360001,173.0,110197500.0
2018-01-15,178.46000700000002,-0.9997,0.131,0.773,0.096,177.899994,180.100006,175.070007,127571200.0
2018-01-22,171.509995,0.8957,0.082,0.842,0.077,177.300003,179.440002,170.059998,191574800.0
2018-01-29,160.5,-0.9991,0.123,0.772,0.105,170.16000400000001,170.16000400000001,160.100006,262992100.0
2018-02-05,156.41000400000001,-0.9994,0.13,0.761,0.109,159.100006,163.880005,150.240005,317654000.0
2018-02-12,172.429993,-0.9999,0.151,0.763,0.085,158.5,174.820007,157.509995,225336900.0
2018-02-19,175.5,-0.9999,0.161,0.749,0.09,172.050003,175.649994,171.009995,136206400.0
2018-02-26,176.21000700000002,-0.9999,0.145,0.769,0.086,176.350006,180.619995,172.449997,202128400.0
2018-03-05,179.979996,-0.9999,0.137,0.776,0.087,175.21000700000002,180.0,174.270004,139852700.0
2018-03-12,178.020004,-0.9999,0.151,0.753,0.096,180.28999299999998,183.5,177.619995,155417500.0
2018-03-19,164.940002,-0.9995,0.116,0.795,0.089,177.320007,177.470001,164.940002,172670700.0
2018-03-26,167.779999,-0.9997,0.103,0.839,0.057,168.070007,175.149994,165.190002,157898400.0
2018-03-29,167.779999,-1.0,0.157,0.779,0.064,167.804993,171.75,166.899994,38398505.0
